Questions,,read-out loud,,details,additional info,,images
1. What is the tire pressure for the left front tire?,,please say a value,,,,,
2. What is the tire pressure for the right front tire?,,please say a value,,,,,
3. What is the condition of the left front tire?,,good ok or needs replacement,,,,,
4. What is the condition of the right front tire?,,good ok or needs replacement,,,,,
5. What is the tire pressure for the left rear tire?,,please say a value,,,,,
6. What is the tire pressure for the right rear tire?,,please say a value,,,,,
7. What is the condition of the left rear tire?,,good ok or needs replacement,,,,,
8. What is the condition of the right rear tire?,,good ok or needs replacement,,,,,
9. What is the overall tire summary?,,please be thorough,,,,,
10. Are there any images of the tires?,,attach necessary images,,,,,
